facility_code,facility_name,state,total_volume,betweenness_centrality,pagerank,clustering_coefficient,in_degree,out_degree,weighted_in_degree,weighted_out_degree,avg_out_delay,median_out_delay,pct_delayed_out,avg_in_delay,pct_delayed_in,norm_betweenness,norm_delay,norm_volume,bottleneck_score,bottleneck_rank,outgoing_breach_impact,incoming_breach_impact,total_breach_impact,sla_contribution_pct
IND249407AAA,Haridwar (Uttarakhand),Uttarakhand,103,0.004033,0.001705,0.2,5,3,49,54,2.568,2.179,1.0,5.043,0.98,0.01830195272260266,1.0,0.05125628140703518,0.4208674702388914,37,54.0,48.0,102.0,0.4420176807072283
IND395023AAD,Surat_Central_I_4 (Gujarat),Gujarat,105,1.8e-05,0.002364,0.0,5,5,42,63,2.254,2.0,0.952,7.751,0.952,8.168488693450234e-05,0.952,0.05226130653266332,0.39650289742587935,984,60.0,40.0,100.0,0.4333506673600277
IND431136AAC,Aurangabad_Central_H_1 (Maharashtra),Maharashtra,107,0.005642,0.001192,0.0476,5,5,49,58,4.0,2.2,0.879,3.061,0.98,0.025603674004692344,0.879,0.053266331658291456,0.3752610016988952,1070,51.0,48.0,99.0,0.4290171606864275
IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),Andhra Pradesh,101,0.005656,0.001788,0.1556,8,8,50,51,3.521,2.889,0.961,2.739,0.94,0.02566720669453029,0.961,0.05025125628140704,0.40717553889278124,129,49.0,47.0,96.0,0.41601664066562666
IND263153AAB,Rudrapur_UdhamNgr_H (Uttarakhand),Uttarakhand,104,0.007245,0.002124,0.1455,6,7,48,56,3.971,2.277,0.929,2.477,0.896,0.03287816699113719,0.929,0.05175879396984925,0.39699108828829593,982,52.0,43.0,95.0,0.41168313399202633
IND826004AAA,Dhanbad_Kalynpur_I (Jharkhand),Jharkhand,100,0.009648,0.002926,0.0769,7,9,63,37,2.589,1.932,0.892,4.125,0.937,0.04378309939689325,0.892,0.04974874371859297,0.3848595529346459,1015,33.0,59.0,92.0,0.39868261397122556
IND600044AAD,Chennai_Chrompet_DPC (Tamil Nadu),Tamil Nadu,103,0.00363,0.001366,0.2,5,5,51,52,2.08,1.8,0.846,2.32,0.941,0.016473118865124637,0.846,0.05125628140703518,0.35871882008164796,1144,44.0,48.0,92.0,0.39868261397122556
IND400102AAC,Mumbai_Jogshwri_I (Maharashtra),Maharashtra,98,0.000406,0.000644,0.0,1,2,62,36,6.159,2.472,0.889,4.687,0.952,0.0018424480053004415,0.889,0.04874371859296482,0.3707758499794796,1094,32.0,59.0,91.0,0.39434910729762523
IND244901AAB,Rampur_RoshnBgh_I (Uttar Pradesh),Uttar Pradesh,131,0.01403,0.003013,0.0833,10,7,64,67,2.94,1.778,0.537,3.001,0.859,0.06366883131617043,0.537,0.06532663316582915,0.2534986393445999,1367,36.0,55.0,91.0,0.39434910729762523
IND507002AAA,Khammam_NSTRoad_I (Telangana),Telangana,91,0.004714,0.001272,0.1389,5,7,49,42,2.848,2.156,0.976,4.719,1.0,0.021392364278291335,0.976,0.04522613065326633,0.41038554847946734,73,41.0,49.0,90.0,0.39001560062402496
IND306401AAB,Pali_Nayagaon_I (Rajasthan),Rajasthan,94,0.015312,0.001181,0.2,3,4,34,60,2.043,1.714,0.95,3.816,0.912,0.06948661048561665,0.95,0.04673366834170854,0.41486608364819755,46,57.0,31.0,88.0,0.3813485872768244
IND313001AAB,Udaipur_Mangri_I (Rajasthan),Rajasthan,100,0.00905,0.001403,0.1429,4,5,47,53,3.546,2.5,0.943,2.229,0.809,0.04106934593095812,0.943,0.04974874371859297,0.40444542689486535,343,50.0,38.0,88.0,0.3813485872768244
IND712310AAE,Kolkata_North_I_4 (West Bengal),West Bengal,88,0.003259,0.000724,0.0952,5,4,38,50,4.995,3.857,0.98,2.791,1.0,0.014789502584419063,0.98,0.043718592964824124,0.409552428664773,82,49.0,38.0,87.0,0.37701508060322414
IND384205AAA,Mehsana_Panchot_IP (Gujarat),Gujarat,102,0.00845,0.001744,0.1111,6,6,52,50,2.013,1.867,0.92,3.033,0.788,0.0383465163664747,0.92,0.05075376884422111,0.3947300855632088,988,46.0,41.0,87.0,0.37701508060322414
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),Uttar Pradesh,101,0.008829,0.002069,0.0278,6,4,52,49,3.916,3.286,1.0,3.39,0.731,0.040066437041373394,1.0,0.05025125628140704,0.42709530799683415,26,49.0,38.0,87.0,0.37701508060322414
IND273014AAB,Gorakhpur_Matriprm_IP (Uttar Pradesh),Uttar Pradesh,93,0.006117,0.002208,0.0,6,6,48,45,2.801,2.364,0.911,2.885,0.958,0.027759247409908375,0.911,0.04623115577889447,0.3865971209566409,1005,41.0,46.0,87.0,0.37701508060322414
IND506002AAA,Warangal_HunterRd_I (Telangana),Telangana,87,0.006852,0.001483,0.0,3,3,48,39,1.911,1.75,1.0,3.886,0.979,0.031094713626400552,1.0,0.04321608040201005,0.4222932382085232,34,39.0,47.0,86.0,0.37268157392962387
IND413002AAA,Solapur_Central_I_2 (Maharashtra),Maharashtra,109,0.003228,0.001314,0.2667,5,5,51,58,2.485,1.75,0.983,3.386,0.549,0.014648823056920751,0.983,0.054271356783919596,0.41387605395225213,50,57.0,28.0,85.0,0.36834806725602354
IND573201AAB,Hassan_Pandrnga_I (Karnataka),Karnataka,94,0.014941,0.001632,0.1429,4,5,49,45,2.58,2.271,1.0,2.627,0.796,0.06780299420491108,1.0,0.04673366834170854,0.43436099876398593,23,45.0,39.0,84.0,0.36401456058242326
IND560078AAC,BLR_JPNagar_Pc (Karnataka),Karnataka,105,0.0,0.000916,1.0,3,2,69,36,2.831,2.367,0.972,2.069,0.696,0.0,0.972,0.05226130653266332,0.404478391959799,340,35.0,48.0,83.0,0.359681053908823
IND110064AAA,Delhi_Mayapuri_PC (Delhi),Delhi,92,0.000811,0.000894,0.1667,2,3,50,42,2.7,1.871,0.857,3.134,0.9,0.003680357961326744,0.857,0.0457286432160804,0.35762270035322213,1152,36.0,45.0,81.0,0.3510140405616225
IND400011AAA,LowerParel_CP (Maharashtra),Maharashtra,84,0.000808,0.000231,0.0,2,2,19,65,2.881,2.6,0.954,3.694,1.0,0.003666743813504327,0.954,0.04170854271356784,0.39521258595812164,987,62.0,19.0,81.0,0.3510140405616225
IND121002AAB,Faridabad_Mthurard_L (Haryana),Haryana,86,0.0,0.000997,0.0,1,1,57,29,2.711,1.667,0.793,6.496,1.0,0.0,0.793,0.04271356783919598,0.33001407035175884,1232,23.0,57.0,80.0,0.34668053388802217
IND500039AAC,Hyderabad_Uppal_I (Telangana),Telangana,84,0.004838,0.001328,0.0476,5,4,46,38,3.931,2.458,0.947,2.19,0.957,0.021955082388284572,0.947,0.04170854271356784,0.39789908753055575,979,36.0,44.0,80.0,0.34668053388802217
IND560048AAB,Bengaluru_Hoodi_IP (Karnataka),Karnataka,108,0.000807,0.000905,0.5,4,2,65,43,3.3,2.357,0.837,2.584,0.662,0.003662205764230188,0.837,0.053768844221105526,0.3520293149956007,1166,36.0,43.0,79.0,0.3423470272144219
IND110037AAK,Delhi_Kapshera_L (Delhi),Delhi,82,0.0,0.000719,0.0,1,1,39,43,3.279,2.0,0.953,3.959,0.974,0.0,0.953,0.0407035175879397,0.39341105527638187,993,41.0,38.0,79.0,0.3423470272144219
IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),Maharashtra,92,0.011248,0.001836,0.1111,5,5,45,47,3.492,3.0,1.0,2.884,0.689,0.05104397823551568,1.0,0.0457286432160804,0.42903178643547885,25,47.0,31.0,78.0,0.3380135205408216
IND786001AAB,Dibrugarh_Bokule_H (Assam),Assam,80,0.012028,0.0021,0.1061,6,7,38,42,2.734,2.0,0.952,3.602,1.0,0.054583656669344116,0.952,0.03969849246231156,0.40908464473949674,84,40.0,38.0,78.0,0.3380135205408216
